Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
GrandMasterToni,103922579,31,109,0,Yes,15401570,12401570,14,1,24,Yes,15781078,12406078,13,1,19,Yes,18897784,12414034,14,4,25,Yes,20233577,12415293,14,1,23,Yes,17544676,12417880,8,1,12,Yes,16063894,12417880,6,0,6
Dava,110622623,66,129,2,Yes,15777486,12777486,14,1,24,Yes,16905370,12780370,14,1,22,Yes,18934057,12791557,15,4,26,Yes,20954322,12794788,16,1,28,Yes,18946276,12794998,11,1,18,Yes,19105112,12800272,7,0,11
CaptainRootBeer,105227076,13,111,0,Yes,15800497,12400497,14,1,25,Yes,15917272,12417272,13,1,20,Yes,18093237,12470737,13,4,23,Yes,20150045,12484105,13,1,23,Yes,18105766,12485376,8,0,14,Yes,17160259,12485376,5,0,6
Voltaire,104591870,16,110,0,Yes,15255030,12355030,13,0,23,Yes,15652089,12402089,12,1,18,Yes,18569165,12426665,14,4,23,Yes,19970730,12426665,14,1,22,Yes,18542167,12428183,9,0,16,Yes,16602689,12430175,7,0,8
Shaundoggy,101968096,18,105,0,Yes,14916212,12116212,13,0,22,Yes,14994544,12119544,11,1,15,Yes,18610602,12126852,14,2,25,Yes,20108683,12127899,14,1,24,Yes,15812368,12129060,8,0,11,Yes,17525687,12129060,6,0,8
Nam,91237676,29,85,0,No,334442,334442,0,0,0,Yes,15699097,12574097,12,1,17,Yes,19057571,12573821,14,4,25,Yes,20061011,12573821,14,1,22,Yes,17947057,12600886,9,0,13,Yes,18138498,12601471,7,0,8
Broksby USM,110386704,71,94,6,Yes,13378980,13378980,0,1,0,Yes,16256670,13381670,13,1,18,Yes,19867507,13383757,14,4,25,Yes,21731252,13419374,15,1,25,Yes,20709292,13388745,11,0,18,Yes,18443003,13390795,5,0,8
Eclipse,101554883,15,106,0,Yes,14617563,12017563,13,0,23,Yes,15265891,12015891,12,1,18,Yes,17475891,12015891,13,3,22,Yes,19485956,12025172,13,1,21,Yes,18358025,12015891,9,0,16,Yes,16351557,12021093,4,0,6
valitsaki,104339360,9,105,0,Yes,15495716,12495716,14,1,24,Yes,15745899,12495899,12,1,18,Yes,18982339,12498589,14,3,25,Yes,20083279,12498589,15,1,22,Yes,17125338,12500911,8,0,11,Yes,16906789,12506125,6,0,5
OneFingeredFred,100330025,9,99,2,Yes,15259586,12359586,14,1,23,Yes,15484586,12359586,12,1,17,Yes,18148001,12363001,14,2,21,Yes,19263214,12365087,14,1,23,Yes,14836124,12414223,7,1,9,Yes,17338514,12435481,6,0,6
Suggil,95272248,24,107,0,No,2592596,1192596,7,0,14,Yes,16228960,12978960,12,1,18,Yes,18933467,12985967,14,4,24,Yes,20619511,12990133,16,1,25,Yes,19047751,12988611,10,1,16,Yes,17849963,12988611,7,0,10
Fruitloops,87588018,11,83,0,No,0,0,0,0,0,Yes,15208275,12083275,12,1,17,Yes,17191177,12072427,14,3,20,Yes,20188327,12055199,14,1,24,Yes,17898859,12050319,8,0,14,Yes,17101380,12049172,5,0,8
