Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Voltaire,109283016,43,116,0,Yes,15698039,12698039,14,1,24,Yes,15951993,12701993,12,1,18,Yes,19189290,12705540,14,4,25,Yes,21017056,12705178,14,1,25,Yes,19638836,12724133,12,2,16,Yes,17787802,12735594,5,0,8
Dava,116078537,40,133,0,Yes,16614820,13214820,14,1,25,Yes,16965096,13215096,14,1,22,Yes,19700058,13216308,15,4,25,Yes,22516055,13216989,16,1,29,Yes,21279706,13228640,14,2,22,Yes,19002802,13228850,6,0,10
CaptainRootBeer,111687128,30,125,0,Yes,16190981,12790981,14,1,25,Yes,16291907,12791907,13,1,20,Yes,18603326,12802076,13,4,24,Yes,21608474,12803002,15,1,27,Yes,21126246,12809736,12,1,21,Yes,17866194,12813986,5,0,8
Shaundoggy,106999031,22,109,0,Yes,15313778,12513778,13,0,22,Yes,15391509,12516509,11,1,15,Yes,19000405,12516655,14,4,25,Yes,20554887,12517228,15,1,24,Yes,18856239,12522880,9,1,14,Yes,17882213,12522880,6,0,9
Nam,96336089,21,97,0,No,322435,322435,0,1,0,Yes,16148038,12898038,12,1,18,Yes,19382181,12898431,14,4,25,Yes,21720578,12915106,15,1,27,Yes,20057389,12923311,11,0,17,Yes,18705468,12931516,6,0,10
jonnyboy479,96159157,11,96,0,No,206331,206331,0,1,0,Yes,16427975,13177975,12,1,18,Yes,19485542,13180542,14,4,24,Yes,19832278,13179932,14,1,24,Yes,20946541,13178469,12,0,19,Yes,19260490,13179413,7,0,11
Broksby USM,102881734,78,126,4,Yes,17030271,13630271,14,1,25,No,7563875,4313875,13,1,18,Yes,20128680,13644930,14,4,25,No,17106900,7797678,17,1,27,Yes,21736718,13648358,12,1,21,Yes,19315290,13648832,7,0,10
Eclipse,107869922,17,117,0,Yes,15893778,12493778,14,0,25,Yes,15120296,12495296,12,1,16,Yes,18988783,12505033,14,4,25,Yes,19981285,12504251,14,1,21,Yes,20327674,12504758,11,0,19,Yes,17558106,12505898,7,0,11
valitsaki,105731622,15,103,0,Yes,15603544,12803544,13,1,22,Yes,15808805,12808805,11,1,16,Yes,18961490,12818990,14,3,23,Yes,21084229,12827195,15,1,25,Yes,18252418,12827272,10,0,14,Yes,16021136,12827035,3,0,3
OneFingeredFred,104893794,10,105,0,Yes,15910109,12910109,14,1,24,Yes,16418314,12918314,13,1,20,Yes,19226755,12921755,14,4,24,Yes,19590523,12936146,15,1,21,Yes,16886624,12942260,9,1,8,Yes,16861469,12945624,6,0,8
GrandMasterToni,108675311,22,114,0,Yes,16095583,12695583,14,1,25,Yes,15947072,12697072,13,1,18,Yes,19198094,12714344,14,4,25,Yes,21058524,12746646,14,1,25,Yes,19324194,12716616,10,1,15,Yes,17051844,12721380,4,0,6
Suggil,87481997,26,99,0,No,1167291,767291,2,1,4,No,7345485,3720485,12,1,18,Yes,19753539,13269789,14,4,25,Yes,22075483,13270011,15,1,27,Yes,20672810,13273288,12,1,19,Yes,16467389,13273288,4,0,6
Fruitloops,90187605,7,90,0,No,0,0,0,0,0,Yes,15616513,12366513,12,1,18,Yes,18857162,12373412,14,4,25,Yes,20997657,12370935,15,1,26,Yes,16598262,12342385,9,0,11,Yes,18118011,12344059,6,0,10
Loondog,97814896,21,113,0,No,7228257,3828257,14,1,25,No,12812677,9937677,13,1,18,Yes,19712889,13245389,15,4,25,Yes,21566673,13254795,15,1,25,Yes,18600966,13254795,10,0,13,Yes,17893434,13255845,5,0,7
Zuul,109541759,26,120,0,Yes,15947108,12747108,13,1,23,Yes,16509058,12759058,12,1,19,Yes,19250394,12766644,14,4,25,Yes,21578254,12772782,15,1,27,Yes,19558264,12777380,12,1,18,Yes,16698681,12782836,6,0,8
Eggnog889,108354220,36,114,0,Yes,16132724,12832724,14,1,24,Yes,15835671,12835671,11,1,16,Yes,19328846,12845096,14,4,25,Yes,20625570,12843848,15,1,25,Yes,19254354,12842020,11,0,15,Yes,17177055,12846591,6,0,9
Recurve,109771999,16,119,0,Yes,16290713,12890713,14,0,25,Yes,16265713,12890713,13,1,19,Yes,19384009,12900259,14,4,25,Yes,21711953,12906481,15,1,27,Yes,20012079,12910907,10,1,17,Yes,16107532,12913431,5,0,6
Linky Triforce,118688746,44,134,0,Yes,16852129,13452129,14,1,25,Yes,16580846,13455846,14,1,20,Yes,20293633,13468633,15,4,27,Yes,22762963,13463897,16,1,29,Yes,21513340,13462274,13,2,19,Yes,20685835,13468395,8,1,14
Kimbo,110932534,28,119,2,Yes,15856689,13056689,13,0,22,Yes,16307157,13057157,12,1,18,Yes,18858392,13057142,14,4,24,Yes,22878053,13048831,17,1,30,Yes,18928547,13051488,13,0,17,Yes,18103696,13051488,5,0,8
Findaddy17,101788699,44,106,0,Yes,16077413,13277413,13,1,22,No,7466270,4091270,13,1,19,Yes,19245891,13282141,14,3,22,Yes,20924789,13283224,14,1,23,Yes,19125564,13277024,7,1,10,Yes,18948772,13282314,8,0,10
Phatphil,92939805,26,128,4,No,4903332,2703332,12,0,22,No,7524768,3649768,13,1,20,Yes,19479413,12654413,15,4,27,Yes,22331385,12654507,17,1,30,Yes,20254706,12659940,13,0,19,Yes,18446201,12672249,6,0,10
Zhangster,114615870,25,122,1,Yes,16761820,13361820,14,1,25,Yes,16112304,13362304,12,1,17,Yes,19847355,13363605,14,4,25,Yes,21963308,13365024,16,1,27,Yes,20782714,13374417,11,0,18,Yes,19148369,13374417,6,0,10
Gorm Tyo,110711713,13,116,0,Yes,15936188,12936188,14,1,24,Yes,15934417,12934417,11,1,16,Yes,19433616,12949866,14,4,25,Yes,21263151,12951273,14,1,25,Yes,20548955,12954189,11,1,19,Yes,17595386,12957797,5,0,7
Kyle Katarn,111272491,91,127,0,Yes,17199603,14699603,14,1,22,No,5512812,3262812,12,1,16,Yes,21346214,14699964,15,4,26,Yes,22518482,14700198,15,1,26,Yes,21839038,14704960,14,2,20,Yes,22856342,14717527,12,0,17
