Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Dava,111018880,36,127,0,Yes,16235225,12835225,14,1,25,Yes,16357970,12857970,14,1,20,Yes,19684823,12859823,15,4,27,Yes,22014144,12867422,16,1,29,Yes,19516521,12871649,12,1,20,Yes,17210197,12879733,4,0,6
CaptainRootBeer,106291743,39,112,0,Yes,15518334,12518334,14,1,24,Yes,16040813,12540813,13,1,20,Yes,18342126,12540876,13,4,24,Yes,20359724,12541440,14,1,23,Yes,19151463,12543885,9,0,15,Yes,16879283,12548819,4,0,6
Voltaire,92940328,19,93,0,No,4217165,2217165,8,0,14,Yes,15727071,12477071,12,1,18,Yes,17904716,12477216,14,4,21,Yes,18473420,12483261,11,1,16,Yes,19803808,12483261,12,0,18,Yes,16814148,12483684,4,0,6
Shaundoggy,103199542,21,103,0,Yes,14849778,12149778,13,0,21,Yes,15195795,12195795,11,1,16,Yes,18679590,12195840,14,3,25,Yes,20019898,12201614,14,1,23,Yes,18324250,12210266,9,0,13,Yes,16130231,12214386,4,0,5
Nam,93871466,27,93,0,No,306212,306212,0,1,0,Yes,15908145,12658145,12,1,18,Yes,19141619,12657869,14,4,25,Yes,20817403,12657869,15,1,25,Yes,19987347,12658025,11,0,17,Yes,17710740,12658532,5,0,8
Broksby USM,111393129,80,119,1,Yes,16290414,13390414,14,1,23,Yes,16284037,13409037,13,1,18,Yes,19212152,13410902,14,4,24,Yes,22561773,13415051,16,1,29,Yes,20020448,13412870,12,0,18,Yes,17024305,13415585,6,0,7
Eclipse,104582250,13,113,0,Yes,14932813,12032813,14,0,23,Yes,15168089,12043089,12,1,17,Yes,17527434,12067434,13,2,22,Yes,20105093,12067434,14,2,24,Yes,19664429,12069663,11,0,19,Yes,17184392,12132184,6,0,8
valitsaki,104509954,6,105,0,Yes,15529044,12529044,13,1,24,Yes,15779199,12529199,12,1,18,Yes,19014715,12530965,14,3,25,Yes,20349526,12531242,15,1,23,Yes,18417215,12531381,11,0,13,Yes,15420255,12533279,3,0,2
OneFingeredFred,101355732,5,95,0,Yes,14609347,12509347,9,1,15,Yes,15784447,12534447,13,1,18,Yes,19026810,12543060,14,3,25,Yes,18812482,12546074,14,1,20,Yes,16236492,12553184,8,1,11,Yes,16886154,12555690,4,0,6
GrandMasterToni,106623731,23,115,0,Yes,15837163,12437163,14,1,25,Yes,15940297,12440297,13,1,20,Yes,18928107,12444357,14,4,25,Yes,20820956,12442047,15,1,26,Yes,19048033,12440455,9,1,15,Yes,16049175,12440455,3,0,4
