Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Dava,109800689,70,126,0,Yes,16321565,12921565,14,1,25,Yes,16673717,12923717,14,1,22,Yes,19066450,12923950,15,4,26,Yes,22598106,12957790,17,1,31,Yes,17848761,12958890,11,1,16,Yes,17292090,12961626,4,0,6
CaptainRootBeer,106614135,10,112,0,Yes,15969331,12569331,14,1,25,Yes,15948292,12573292,13,1,19,Yes,18375112,12573862,13,4,24,Yes,20734124,12574590,14,1,25,Yes,18681159,12567175,10,0,13,Yes,16906117,12575653,4,0,6
Voltaire,93645878,17,92,0,No,2326622,1326622,3,0,4,Yes,15774269,12524269,12,1,18,Yes,18830482,12525482,14,4,24,Yes,20999836,12525458,15,1,26,Yes,18858782,12525423,9,0,14,Yes,16855887,12525423,4,0,6
Shaundoggy,87895552,8,77,0,No,29011,29011,0,0,0,Yes,15123625,12248625,10,1,15,Yes,18563265,12258265,14,3,24,Yes,20324377,12286718,14,1,24,Yes,16924156,12290954,7,0,7,Yes,16931118,12293529,5,0,7
Nam,88948167,24,78,0,No,299302,299302,0,1,0,Yes,15930850,12680850,12,1,18,Yes,19168518,12684768,14,4,25,Yes,18681020,12684768,12,1,18,Yes,17131501,12684768,7,0,9,Yes,17736976,12684768,5,0,8
Broksby USM,103594540,86,115,5,Yes,16339489,13439489,14,1,23,No,7484948,4484948,13,1,19,Yes,19588722,13446222,14,4,23,Yes,21060310,12774838,15,1,24,Yes,21038500,13443734,11,0,19,Yes,18082571,13444982,6,0,7
Eclipse,102297170,18,109,0,Yes,15490937,12190937,14,0,24,Yes,15443831,12193831,12,1,18,Yes,17815194,12192694,14,3,23,Yes,20270978,12192694,15,1,24,Yes,16109804,12207121,10,0,12,Yes,17166426,12221712,6,0,8
valitsaki,105642947,9,108,0,Yes,15583050,12583050,13,1,24,Yes,15832668,12582668,11,1,18,Yes,18888398,12583398,14,3,24,Yes,20898279,12586401,15,1,25,Yes,18966336,12586908,10,0,15,Yes,15474216,12587240,2,0,2
OneFingeredFred,105780546,10,105,2,Yes,15579777,12579777,14,1,24,Yes,15958801,12583801,13,1,19,Yes,18718242,12591992,14,3,23,Yes,20340938,12634373,14,1,23,Yes,17487742,12635165,7,1,8,Yes,17695046,12642838,5,0,8
GrandMasterToni,103268377,26,107,0,Yes,15860268,12460268,14,1,25,Yes,16209968,12459968,13,1,19,Yes,17387778,12464028,13,4,21,Yes,21118262,12465134,15,1,27,Yes,18062187,12450572,9,1,12,Yes,14629914,12464682,3,0,3
Suggil,86583254,26,95,0,No,1384396,984396,1,1,1,No,6824336,3699336,12,1,17,Yes,19538564,13054814,14,4,25,Yes,22202086,13055364,16,1,29,Yes,18955346,13036606,10,1,16,Yes,17678526,13040937,5,0,7
Fruitloops,88218515,13,84,0,No,0,0,0,0,0,Yes,15401651,12151651,12,1,18,Yes,18298413,12155913,13,3,23,Yes,20784285,12157563,15,1,26,Yes,16518906,12159923,7,0,9,Yes,17215260,12163052,5,0,8
Loondog,80852382,21,78,0,No,0,0,0,0,0,No,6584702,3209702,12,1,19,Yes,19519014,13035264,14,4,25,Yes,20683752,13044218,14,1,22,Yes,16690232,13044218,5,0,6,Yes,17374682,13044218,5,0,6
Zuul,106891973,20,111,0,Yes,15334474,12534474,13,1,22,Yes,15408273,12533273,12,1,15,Yes,18842459,12537459,14,4,24,Yes,21341001,12535529,15,1,27,Yes,18375974,12536209,12,1,15,Yes,17589792,12537584,5,0,8
HeresWill,106347566,24,103,1,Yes,15856661,13156661,14,1,21,Yes,16028220,13153220,14,1,18,Yes,18960494,13159244,14,3,24,Yes,21129872,13159244,14,1,23,Yes,18015144,13162567,8,1,11,Yes,16357175,13163074,5,0,6
Eggnog889,106766820,10,110,0,Yes,15090074,12590074,14,1,22,Yes,15340764,12590764,11,1,14,Yes,18407283,12606033,13,4,24,Yes,21570316,12602344,16,1,28,Yes,18705692,12600483,10,0,14,Yes,17652691,12600483,5,0,8
Recurve,105058132,23,109,0,Yes,15502153,12502153,14,0,24,Yes,15767552,12517552,12,1,18,Yes,19002131,12518381,14,3,25,Yes,20188376,12548842,13,1,22,Yes,19158502,12550924,9,1,15,Yes,15439418,12552442,4,0,5
Linky Triforce,118163213,51,139,1,Yes,16565930,13165930,14,1,25,Yes,16302760,13177760,14,1,20,Yes,20027759,13202759,15,4,27,Yes,22843308,13202992,17,1,31,Yes,21690264,13200448,14,2,21,Yes,20733192,13208627,9,0,15
Kimbo,109910162,27,119,0,Yes,16000139,12800139,13,0,23,Yes,16052236,12802236,12,1,18,Yes,19286825,12803075,14,4,25,Yes,21689551,12817048,16,1,28,Yes,19424626,12817048,12,0,18,Yes,17456785,12819196,5,0,7
Findaddy17,97650203,55,108,0,No,3825790,1925790,10,0,19,Yes,16320455,12945455,13,1,19,Yes,19398554,12914804,14,3,25,Yes,21460235,12928982,14,1,25,Yes,18320391,12965445,9,1,11,Yes,18324778,12965445,7,0,9
Phatphil,94213948,26,132,3,No,6706100,3706100,14,0,24,No,7506300,4006300,13,1,20,Yes,19609618,12443368,16,3,29,Yes,22119584,12442706,17,1,30,Yes,20768324,12451814,12,0,21,Yes,17504022,12451814,5,0,8
Zhangster,112848581,33,118,0,Yes,16560747,13160747,14,1,25,Yes,16919051,13169051,12,1,19,Yes,19688998,13205248,14,4,25,Yes,21520010,13208132,14,1,25,Yes,20311679,13210507,11,0,17,Yes,17848096,13210507,6,0,7
Gorm Tyo,107670889,19,107,0,Yes,15518550,12718550,14,1,22,Yes,15599908,12724908,11,1,15,Yes,19212921,12729171,14,4,25,Yes,20868525,12735397,14,1,24,Yes,19083173,12749814,9,1,14,Yes,17387812,12750223,5,0,7
Kyle Katarn,120451025,97,109,0,Yes,14828173,14428173,2,1,4,Yes,17430507,14430507,14,1,19,Yes,21076901,14430651,15,4,26,Yes,23253357,14447885,15,1,27,Yes,21167450,14447991,13,2,16,Yes,22694637,14448328,10,0,17
Jade,87572553,13,82,0,No,0,0,0,0,0,Yes,14846036,12096036,12,1,17,Yes,18401341,12096341,14,3,24,Yes,19653621,12109556,14,1,22,Yes,18227406,12113422,9,1,13,Yes,16444149,12113685,4,0,6
Rodger,105129518,12,107,0,Yes,15617519,12617519,14,1,24,Yes,15612401,12612401,11,1,16,Yes,18433915,12632665,14,4,24,Yes,20267999,12628465,14,1,22,Yes,17516082,12626211,10,0,13,Yes,17681602,12629394,5,0,8
STPunisher,108031198,36,109,5,Yes,15838450,12938450,14,1,23,Yes,16302559,12927559,13,1,19,Yes,19396964,12913214,14,4,25,Yes,19693611,12888921,15,1,21,Yes,19535278,12927700,9,1,15,Yes,17264336,12933872,5,0,6
B to the Rian,100950680,9,94,0,Yes,15491950,12491950,14,0,24,Yes,14998841,12498841,12,1,15,Yes,17971555,12511555,12,3,19,Yes,18492583,12496331,11,1,18,Yes,18619050,12505066,8,0,13,Yes,15376701,12489725,5,0,5
