Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Dava,115949065,45,134,0,Yes,15898924,13098924,14,1,22,Yes,16851975,13101975,14,1,22,Yes,19927867,13102867,15,4,27,Yes,22469471,13103374,17,1,30,Yes,21918490,13108386,14,1,23,Yes,18882338,13108386,6,0,10
CaptainRootBeer,109170895,24,120,0,Yes,15705453,12705453,14,1,24,Yes,16207315,12707315,13,1,20,Yes,18508862,12707612,13,4,24,Yes,21586120,12713617,16,1,28,Yes,20535108,12712192,11,1,19,Yes,16628037,12712192,5,0,5
Voltaire,109474818,46,119,0,Yes,16048172,12648172,14,1,25,Yes,15899905,12649905,12,1,18,Yes,19144688,12660938,14,4,25,Yes,21316516,12663388,15,1,27,Yes,20071685,12663388,12,1,18,Yes,16993852,12663388,5,0,6
Shaundoggy,92574088,20,92,0,No,343583,343583,0,0,0,Yes,15420457,12420457,11,1,16,Yes,18729122,12424122,14,4,24,Yes,20682705,12425671,15,1,25,Yes,19606366,12426219,11,0,18,Yes,17791855,12432522,6,0,9
Nam,94417702,25,91,0,No,347932,347932,0,1,0,Yes,16419482,12794482,12,1,18,Yes,19099808,12794808,14,4,24,Yes,20096013,12807885,14,1,23,Yes,19863012,12807909,11,0,16,Yes,18591455,12817503,6,0,10
jonnyboy479,107196346,23,101,0,Yes,16005000,13005000,13,1,24,Yes,14864344,12989344,8,1,10,Yes,19167788,13025288,13,4,23,Yes,20891299,13032390,14,1,23,Yes,18183317,13032390,11,0,13,Yes,18084598,13032390,6,0,8
Broksby USM,111905504,73,121,5,Yes,16955470,13555470,14,1,25,Yes,16564637,13564637,13,1,19,Yes,20115280,13631530,14,4,25,Yes,21852264,13566792,15,1,24,No,17532980,9993058,12,1,19,Yes,18884873,13525540,6,0,9
Eclipse,107630650,13,122,0,Yes,15739230,12339230,14,0,25,Yes,15590520,12340520,12,1,18,Yes,18155301,12354051,14,4,24,Yes,20239366,12354051,15,0,27,Yes,20176967,12354051,11,0,19,Yes,17729266,12369933,7,0,9
valitsaki,107721715,14,110,0,Yes,14907821,12707821,11,1,19,Yes,15966286,12716286,11,1,18,Yes,18853969,12727719,14,3,23,Yes,21327143,12728859,16,1,27,Yes,20326271,12731505,12,0,19,Yes,16340225,12731505,3,0,4
OneFingeredFred,107030576,10,106,0,Yes,15603428,12803428,14,1,22,Yes,16056974,12806974,13,1,18,Yes,18618547,12817297,14,4,24,Yes,20854956,12817297,14,1,24,Yes,18025117,12819346,8,1,10,Yes,17871554,12819346,5,0,8
GrandMasterToni,107278902,20,117,0,Yes,16011975,12611975,14,1,25,Yes,16113464,12613464,13,1,20,Yes,19116406,12632656,14,4,25,Yes,21283981,12630853,15,1,27,Yes,19236839,12629261,10,1,15,Yes,15516237,12629261,4,0,5
Suggil,93615878,20,89,1,No,167849,167849,0,1,0,Yes,16924569,13174569,12,1,19,Yes,19666008,13182258,14,4,25,Yes,21293686,13176808,15,1,26,Yes,17325916,13186308,7,1,11,Yes,18237850,13185642,5,0,8
Fruitloops,91003647,8,91,0,No,0,0,0,0,0,Yes,15415770,12290770,12,1,17,Yes,18782621,12298871,14,4,25,Yes,18918228,12302444,13,1,20,Yes,19794436,12307164,12,0,19,Yes,18092592,12318640,6,0,10
Loondog,86650642,27,95,0,No,2552137,1552137,4,1,7,No,6900302,3900302,13,1,19,Yes,19975483,13150483,15,4,27,Yes,20163943,13150034,13,1,22,Yes,19267586,13153602,9,0,13,Yes,17791191,13153602,5,0,7
Zuul,107820017,21,119,0,Yes,15847596,12647596,13,1,23,Yes,15900242,12650242,12,1,18,Yes,19155875,12672125,14,4,25,Yes,21325567,12672439,15,1,27,Yes,18584643,12674678,12,1,17,Yes,17006094,12675630,6,0,9
Eggnog889,107315518,32,112,0,Yes,16135809,12735809,14,1,25,Yes,15736881,12736881,11,1,16,Yes,18545159,12743909,14,4,24,Yes,19916472,12750219,14,1,22,Yes,18867924,12753940,10,0,16,Yes,18113273,12753940,6,0,9
Recurve,108914467,27,119,0,Yes,15776775,12776775,14,0,24,Yes,16155768,12780768,13,1,19,Yes,19263690,12779940,14,4,25,Yes,21435764,12782636,15,1,27,Yes,19887461,12786289,10,1,17,Yes,16395009,12786289,5,0,7
Linky Triforce,120612664,42,141,0,Yes,16774161,13374161,14,1,25,Yes,17132898,13382898,14,1,22,Yes,20214473,13389473,15,4,27,Yes,22508467,13388151,16,1,28,Yes,22654369,13387965,13,2,23,Yes,21328296,13389112,9,0,16
Kimbo,108787045,22,118,0,Yes,16150084,12950084,13,0,23,Yes,16203588,12953588,12,1,18,Yes,19440995,12957245,14,4,25,Yes,19858618,12960491,16,1,26,Yes,20555257,12960491,12,0,19,Yes,16578503,12969783,5,0,7
Findaddy17,109975526,38,110,0,Yes,16039020,13139020,14,1,23,Yes,16558254,13183254,13,1,19,Yes,19674680,13190930,14,2,25,Yes,20300308,13190930,12,2,21,Yes,18545876,13190930,8,1,12,Yes,18857388,13190930,8,0,10
Phatphil,91309262,35,123,3,No,7387621,3987621,14,0,25,No,7543660,4043660,13,1,20,Yes,19382343,12557343,15,3,27,Yes,20333794,12558166,14,1,24,Yes,20185838,12558166,12,0,19,Yes,16476006,12560161,6,0,8
Zhangster,92291519,51,85,0,No,420479,420479,0,1,0,Yes,16056544,13306544,12,1,17,Yes,19108537,13307287,14,4,24,Yes,21005370,13308961,14,1,22,Yes,18058595,13309124,11,0,13,Yes,17641994,13311530,6,0,9
Gorm Tyo,107065088,19,109,0,Yes,15829726,12829726,14,1,24,Yes,16365681,12865681,11,1,17,Yes,19350875,12867125,14,4,25,Yes,19485054,12869270,13,1,20,Yes,19969141,12867969,10,1,17,Yes,16064611,12870510,5,0,6
Kyle Katarn,125222654,104,130,0,Yes,17573010,14573010,14,1,24,Yes,17827699,14577699,14,1,18,Yes,21045298,14577798,15,4,25,Yes,23042020,14577798,15,1,25,Yes,22902414,14585904,14,2,21,Yes,22832213,14585904,11,0,17
Jade,83725190,12,77,0,No,0,0,0,0,0,Yes,15333263,12208263,12,1,17,Yes,18529087,12224087,14,4,24,Yes,20263998,12226339,14,1,24,Yes,17072147,12219570,8,1,11,Yes,12526695,12219570,2,0,1
Lionpride97,98882114,11,93,3,No,2647500,1647500,3,1,4,Yes,16052974,13177974,10,1,16,Yes,18637974,13177974,12,3,19,Yes,20941414,13177974,14,2,23,Yes,21034936,13179114,12,0,19,Yes,19567316,13179114,8,0,12
Rodger,106370090,13,107,0,Yes,15826143,12826143,14,1,24,Yes,15760060,12760060,11,1,16,Yes,18534674,12765924,14,4,23,Yes,19755831,12762235,14,1,23,Yes,19093323,12759964,9,0,14,Yes,17400059,12762470,5,0,7
STPunisher,90822252,33,110,2,Yes,16043390,13043390,14,1,24,No,4592798,2342798,7,1,12,Yes,19581224,13097474,14,4,25,No,13722188,4575466,16,1,29,Yes,19178533,13064549,9,1,13,Yes,17704119,13066530,5,0,7
B to the Rian,91094098,5,91,0,No,0,0,0,0,0,Yes,15779345,12654345,12,1,17,Yes,19061961,12578211,14,3,25,Yes,20372896,12591174,14,1,25,Yes,19686912,12585740,10,0,17,Yes,16192984,12584264,5,0,7
Климент Б,100582127,11,115,0,Yes,16264492,12864492,14,0,25,Yes,16116592,12866592,12,1,18,Yes,19355491,12871741,14,3,25,No,12889103,4290819,16,1,27,Yes,18014493,12887697,8,0,12,Yes,17941956,12889748,5,0,8
The Fallen,102241247,33,117,0,Yes,16210840,12810840,14,1,25,Yes,16063266,12813266,12,1,18,No,10975780,4492030,14,3,25,Yes,20452378,12812844,15,1,22,Yes,19641422,12814469,12,1,16,Yes,18897561,12816484,7,0,11
Mace Marauder,112803643,28,114,0,Yes,15162338,13362338,8,1,12,Yes,16737338,13362338,13,1,19,Yes,18985836,13363336,15,4,24,Yes,22510565,13363843,16,1,29,Yes,21406134,13363843,12,2,20,Yes,18001432,13363843,7,0,10
Marl Jewel,106303477,12,102,0,Yes,15815326,13015326,13,1,22,Yes,16142224,13017224,11,1,17,Yes,19508674,13024924,14,4,25,Yes,21184458,13024924,14,1,25,Yes,16710129,13026821,8,0,8,Yes,16942666,13026821,4,0,5
mini mojo2,108045134,22,112,0,Yes,15961768,12661768,14,1,24,Yes,15752162,12627162,12,1,17,Yes,19110912,12627162,14,4,25,Yes,20932106,12675072,15,1,25,Yes,19282650,12675072,9,1,15,Yes,17005536,12675072,4,0,6
