Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Dava,115548117,61,135,0,Yes,16003137,13003137,14,1,24,Yes,17135561,13010561,14,1,22,Yes,19836016,13011016,15,4,27,Yes,22654241,13013925,17,1,31,Yes,21837003,13026899,13,1,23,Yes,18082159,13029951,5,0,8
CaptainRootBeer,107673969,38,115,0,Yes,16009690,12609690,14,1,25,Yes,15998142,12623142,13,1,19,Yes,18456327,12655077,13,4,24,Yes,21012168,12633259,15,1,26,Yes,19237378,12629800,9,0,15,Yes,16960264,12629800,4,0,6
Voltaire,107831021,36,115,0,Yes,15478420,12578420,14,0,23,Yes,15828667,12578667,12,1,18,Yes,18884448,12579448,14,4,24,Yes,21232214,12579086,15,1,27,Yes,19491368,12585440,11,0,17,Yes,16915904,12585440,4,0,6
Shaundoggy,91503418,19,88,0,No,3101145,2101145,4,0,4,Yes,15349555,12349555,11,1,16,Yes,18833413,12349663,14,3,25,Yes,20509196,12349662,15,1,25,Yes,18464321,12350337,9,0,13,Yes,15245788,12358812,6,0,5
Nam,93712453,24,92,0,No,338628,338628,0,1,0,Yes,15989623,12739623,12,1,18,Yes,19235223,12751473,14,4,25,Yes,20258976,12751473,14,1,24,Yes,19359054,12751476,10,0,15,Yes,18530949,12756997,6,0,10
Broksby USM,98325548,77,125,4,Yes,16928580,13528580,14,1,25,No,7725133,4225133,13,1,20,Yes,19996635,13512885,14,4,25,No,13699709,5005956,16,1,27,Yes,21105462,13510696,12,0,19,Yes,18870029,13510696,6,0,9
Eclipse,105123303,16,109,0,Yes,13775183,12275183,10,0,15,Yes,15538500,12288500,12,1,18,Yes,17755181,12295181,14,3,22,Yes,20082377,12300655,14,1,25,Yes,19896438,12301672,11,0,19,Yes,18075624,12301672,6,0,10
valitsaki,87528222,23,80,0,No,428198,428198,0,1,0,Yes,15777202,12652202,11,1,17,Yes,17936842,12655592,14,3,22,Yes,20015539,12660380,16,1,24,Yes,19260088,12661285,10,0,16,Yes,14110353,12666865,2,0,1
OneFingeredFred,105307051,10,103,0,Yes,14976907,12676907,14,1,20,Yes,16192819,12692819,13,1,20,Yes,18497675,12696425,14,4,24,Yes,20241494,12697429,13,1,22,Yes,18050987,12704816,10,1,10,Yes,17347169,12709580,5,0,7
GrandMasterToni,106141292,32,112,0,Yes,15534786,12534786,14,1,24,Yes,16119831,12619831,13,1,20,Yes,18855819,12550819,14,4,24,Yes,20860387,12548509,15,1,25,Yes,17893088,12546917,9,1,13,Yes,16877381,12546917,4,0,6
Suggil,96046555,25,95,0,No,376745,376745,0,1,0,Yes,16349882,13099882,12,1,18,Yes,19594476,13110726,14,4,25,Yes,22257775,13111053,16,1,29,Yes,19713824,13115021,11,1,16,Yes,17753853,13116264,5,0,7
Fruitloops,93995006,25,101,0,No,4870416,2770416,9,0,15,Yes,14987986,12237986,12,1,17,Yes,18536641,12231641,14,3,24,Yes,19449566,12216282,14,0,23,Yes,18548668,12206534,9,0,13,Yes,17601729,12242396,6,0,9
Loondog,83900139,20,87,0,No,177271,177271,0,1,0,No,7395291,3895291,13,1,20,Yes,19586008,13102258,14,4,25,Yes,20273604,13101258,14,1,24,Yes,18721932,13101542,7,0,11,Yes,17746033,13108444,5,0,7
Zuul,106707478,17,118,0,Yes,15380732,12580732,13,1,22,Yes,15832764,12582764,12,1,18,Yes,18897401,12592401,14,4,24,Yes,21737589,12590867,16,0,29,Yes,18659798,12591883,12,1,18,Yes,16199194,12590474,5,0,7
Eggnog889,91963933,12,102,0,No,5324759,2924759,9,1,15,No,10765826,7765826,11,1,16,Yes,18815411,12672911,14,4,23,Yes,20177694,12670191,14,1,24,Yes,19574291,12668363,11,0,17,Yes,17305952,12668363,6,0,7
Recurve,104412482,13,107,0,Yes,16006232,12606232,14,0,25,Yes,15856232,12606232,12,1,18,Yes,18911265,12606265,14,4,24,Yes,19620285,12606376,13,1,22,Yes,18939735,12606376,9,1,14,Yes,15078733,12606376,4,0,4
Linky Triforce,117465011,32,137,0,Yes,16186326,13286326,14,1,23,Yes,16546078,13296078,14,1,21,Yes,20127693,13302693,15,4,27,Yes,22613914,13314848,16,1,29,Yes,22581750,13315346,13,2,23,Yes,19409250,13328173,9,0,14
Kimbo,109276492,27,117,0,Yes,16120634,12920634,13,0,23,Yes,15662160,12912160,12,1,17,Yes,19393295,12909545,14,4,25,Yes,22062086,12915364,16,1,29,Yes,20235944,12915397,13,0,18,Yes,15802373,12915397,5,0,5
Findaddy17,110564912,46,112,0,Yes,15425394,13025394,12,1,21,Yes,16433752,13058752,13,1,19,Yes,19540660,13056910,14,3,25,Yes,20891988,13061517,15,1,25,Yes,19130458,13062543,8,1,11,Yes,19142660,13061583,7,0,11
Phatphil,85659154,39,127,3,No,6854827,3854827,14,0,24,No,7608455,4108455,13,1,20,Yes,19162218,12515968,15,3,26,No,13322234,4669106,15,1,27,Yes,20833172,12516662,12,0,21,Yes,17878248,12518915,6,0,9
Zhangster,111430256,38,117,0,Yes,16657020,13257020,14,1,25,Yes,16512400,13262400,12,1,18,Yes,19745300,13261550,14,4,25,Yes,20553399,13265271,13,1,23,Yes,18922918,13265234,11,0,16,Yes,19039219,13265267,6,0,10
Gorm Tyo,106742577,16,106,0,Yes,15784255,12784255,14,1,24,Yes,15784726,12784726,11,1,16,Yes,18584474,12783224,14,4,24,Yes,20508862,12802297,14,1,23,Yes,18641218,12801453,9,1,12,Yes,17439042,12801453,5,0,7
Kyle Katarn,122153246,102,125,1,Yes,17503218,14503218,14,1,24,Yes,17254533,14504533,14,1,17,Yes,21151083,14504833,15,4,26,Yes,23327859,14522387,16,1,27,Yes,20452442,14524927,11,2,15,Yes,22464111,14524927,10,0,16
Jade,90829978,13,90,0,No,2106195,1106195,4,0,7,Yes,15180760,12180760,12,1,16,Yes,18662640,12178890,14,3,25,Yes,19968058,12176180,15,2,22,Yes,18509539,12176180,9,1,14,Yes,16402786,12179816,5,0,6
Lionpride97,96282229,16,94,0,No,323436,323436,0,1,0,Yes,16482058,13107058,13,1,19,Yes,19593223,13109473,14,4,25,Yes,20230623,13121245,13,0,22,Yes,19728823,13121245,11,0,15,Yes,19924066,13121245,8,0,13
Rodger,107796309,14,111,0,Yes,15675118,12675118,14,1,24,Yes,15679373,12679373,11,1,16,Yes,18984543,12679543,14,4,24,Yes,20845228,12685694,15,1,25,Yes,19291018,12683440,9,0,15,Yes,17321029,12683440,5,0,7
STPunisher,106084212,36,110,1,Yes,15980109,12980109,14,1,24,Yes,16367777,12992777,13,1,19,Yes,18793023,12991773,14,4,24,Yes,19556925,11586297,15,1,23,Yes,19604415,12996837,9,1,15,Yes,15781963,13002481,5,0,5
B to the Rian,90063553,6,87,0,No,681772,381772,2,0,3,Yes,15658499,12533499,12,1,17,Yes,19025954,12542204,14,3,25,Yes,19852827,12528137,12,1,21,Yes,17679101,12515011,9,0,14,Yes,17165400,12527811,5,0,7
Климент Б,109675055,16,121,0,Yes,16196918,12796918,14,0,25,Yes,16051354,12801354,12,1,18,Yes,19301095,12817345,14,3,25,Yes,21692463,12819960,16,1,28,Yes,20416945,12822179,11,0,19,Yes,16016280,12822179,5,0,6
The Fallen,110439846,16,119,0,Yes,16152970,12752970,14,0,25,Yes,15999285,12749285,12,1,18,Yes,19240266,12756516,14,3,25,Yes,20576845,12758561,15,1,23,Yes,20351710,12756944,11,1,19,Yes,18118770,12759437,7,0,9
Mace Marauder,110375372,34,121,0,Yes,16283536,13283536,14,1,24,Yes,15784683,13284683,13,1,18,Yes,20112336,13287336,15,4,27,Yes,21897824,13287352,16,1,28,Yes,18368812,13288085,10,2,14,Yes,17928181,13290592,7,0,10
Marl Jewel,91166210,10,82,0,No,235992,235992,0,1,0,Yes,16088564,12963564,11,1,17,Yes,19449343,12965593,14,4,25,Yes,21127239,12967705,15,1,25,Yes,18403250,12969329,7,0,10,Yes,15861822,12974846,4,0,5
mini mojo2,99082331,21,113,0,No,7396626,3996626,14,1,25,Yes,15818191,12568191,12,1,18,Yes,19060415,12576665,14,4,25,Yes,20711011,12577883,16,1,24,Yes,19186601,12579023,9,1,15,Yes,16909487,12579023,4,0,6
BLUE POGO,111011270,12,121,0,Yes,15805774,12805774,14,1,24,Yes,16180537,12805537,13,1,19,Yes,19038117,12895617,14,4,23,Yes,21680472,12807969,16,1,28,Yes,20133792,12813245,11,1,18,Yes,18172578,12813245,6,0,9
Cliquor,101665031,22,117,0,No,6851808,3951808,14,1,23,Yes,16774384,13274384,13,1,20,Yes,18719559,13275809,14,4,22,Yes,21270615,13275612,15,1,25,Yes,19004433,13267774,12,1,17,Yes,19044232,13270280,6,0,10
Otnip,105168640,13,105,0,Yes,15536192,12536192,14,0,24,Yes,15543999,12543999,12,1,16,Yes,19028682,12544932,14,3,25,Yes,20430826,12545511,14,1,24,Yes,17753179,12547408,10,0,10,Yes,16875762,12545298,5,0,6
Raynorel,124000921,39,145,0,Yes,17285001,13885001,14,1,25,Yes,17135586,13885586,14,1,21,Yes,20715776,13890776,15,4,27,Yes,23259144,13893047,17,1,30,Yes,22736123,13893113,14,2,23,Yes,22869291,13901238,11,0,19
Legion of Boom,91545014,41,85,0,No,354174,354174,0,1,0,Yes,15521976,12771976,9,1,14,Yes,18573917,12772667,14,3,24,Yes,21740002,12772030,16,1,28,Yes,17930390,12770688,8,1,12,Yes,17424555,12786966,5,0,7
Ob1kin0be,85771819,30,98,1,Yes,15307862,12507862,13,0,22,No,5542033,3542033,11,1,11,Yes,18471886,12524386,14,4,24,No,10502181,3707647,12,1,21,Yes,18367468,12527703,8,0,12,Yes,17580389,12528181,5,0,8
Scarif Moses,113132211,92,114,1,Yes,17119861,13719861,14,1,25,Yes,16850157,13725157,14,1,17,Yes,19185526,13725526,15,4,25,Yes,22078136,13725633,16,1,25,Yes,19840841,13726857,11,2,13,Yes,18057690,13727226,5,0,9
Wagz,82076993,47,87,3,No,669216,669216,0,1,0,No,6920341,3670341,12,1,18,Yes,18665990,12897240,14,4,23,Yes,20569770,12903830,16,1,26,Yes,18736973,12905983,11,1,13,Yes,16514703,12905983,5,0,7
Marka Ragnos Σ,119202272,66,125,0,Yes,17226655,14226655,14,1,24,Yes,17977935,14227935,14,1,22,Yes,21095088,14270088,15,3,27,Yes,21555359,14230669,15,2,24,Yes,22054755,14240614,12,2,20,Yes,19292480,14240272,5,0,8
Jsmith9090,97568995,74,109,7,Yes,15580555,12580555,14,0,24,No,6596873,3471873,11,1,17,Yes,18789381,12484381,14,4,24,Yes,20038329,12220045,13,1,23,Yes,18819725,12477591,10,0,13,Yes,17744132,12691924,5,0,8
Lhysa,106891576,32,111,0,Yes,15211572,12411572,11,0,19,Yes,15666514,12416514,12,1,18,Yes,19062751,12416501,15,4,26,Yes,20275488,12416579,14,1,23,Yes,18484556,12416641,11,0,15,Yes,18190695,12416743,6,0,10
KingChris,97008102,26,102,0,No,3963901,2163901,7,1,12,Yes,15597370,12847370,11,1,17,Yes,19165087,12860087,14,4,24,Yes,20744868,12859553,14,1,24,Yes,20454336,12859570,11,0,19,Yes,17082540,12859570,5,0,6
Rosey,105019178,36,106,0,Yes,16017057,12617057,14,0,25,Yes,15868784,12618784,12,1,18,Yes,18082357,12622357,14,3,22,Yes,20827514,12627355,16,1,25,Yes,17262834,12629632,8,0,10,Yes,16960632,12630168,5,0,6
Lamplighter,108765234,23,117,0,Yes,16429570,13029570,14,0,25,Yes,16662252,13037252,14,1,21,Yes,18663395,13040895,14,4,23,Yes,20095560,13045089,14,1,23,Yes,20672761,13045089,12,0,19,Yes,16241696,13047595,5,0,6
Soup888,103028634,14,86,0,Yes,13498324,12798324,4,1,7,Yes,15925844,12800844,12,1,17,Yes,18411195,12804945,14,4,22,Yes,20048385,12804945,14,1,20,Yes,19447232,12806748,11,1,15,Yes,15697654,12810678,5,0,5
Rolfey81,101962501,24,95,0,Yes,15713124,12813124,14,1,23,Yes,15940129,12815129,12,1,17,Yes,18966153,12823653,14,2,23,Yes,19382555,12825678,13,2,21,Yes,15521798,12825678,5,0,7,Yes,16438742,12830022,3,0,4
Leroy Jenkins,104993867,11,89,0,Yes,12776348,12776348,0,0,0,Yes,15784197,12784197,12,1,19,Yes,18926697,12784197,14,3,23,Yes,20387269,12784297,14,1,24,Yes,19391110,12783532,10,0,15,Yes,17728246,12783532,7,0,8
