Name,Total Territory Points,Platoon Units,Combat Waves,Rogue Actions,P1 Deployed,P1 Territory Points,P1 Deployed GP,P1 Combat Attempts,P1 Special Attempts,P1 Waves,P2 Deployed,P2 Territory Points,P2 Deployed GP,P2 Combat Attempts,P2 Special Attempts,P2 Waves,P3 Deployed,P3 Territory Points,P3 Deployed GP,P3 Combat Attempts,P3 Special Attempts,P3 Waves,P4 Deployed,P4 Territory Points,P4 Deployed GP,P4 Combat Attempts,P4 Special Attempts,P4 Waves,P5 Deployed,P5 Territory Points,P5 Deployed GP,P5 Combat Attempts,P5 Special Attempts,P5 Waves,P6 Deployed,P6 Territory Points,P6 Deployed GP,P6 Combat Attempts,P6 Special Attempts,P6 Waves
Dava,117016762,38,134,0,Yes,16681627,13281627,14,1,25,Yes,17032530,13282530,14,1,22,Yes,20107530,13282530,15,4,27,Yes,22308595,13283748,16,1,28,Yes,22545932,13288303,14,2,24,Yes,18340548,13288340,6,0,8
CaptainRootBeer,110887901,46,121,0,Yes,16257266,12857266,14,1,25,Yes,16360842,12860842,13,1,20,Yes,18484448,12861948,13,4,23,Yes,21673535,12868063,15,1,27,Yes,20191100,12870553,12,1,18,Yes,17920710,12868502,5,0,8
Voltaire,106867308,20,109,0,Yes,16178006,12778006,14,1,25,Yes,15903478,12778478,12,1,17,Yes,19085238,12780238,14,4,24,Yes,19925754,12779814,14,1,23,Yes,17941163,12781461,8,2,12,Yes,17833669,12781461,5,0,8
Shaundoggy,107368532,18,107,0,Yes,15269851,12569851,13,0,21,Yes,15572792,12572792,11,1,16,Yes,19059007,12575257,14,4,25,Yes,20204819,12575441,15,1,21,Yes,18909862,12576503,9,1,14,Yes,18352201,12578249,6,0,10
Nam,96919265,21,98,0,No,184829,184829,0,1,0,Yes,16701792,12951792,12,1,19,Yes,19441514,12957764,14,4,25,Yes,21763236,12957764,15,1,27,Yes,19370525,12958191,11,0,15,Yes,19457369,12961673,7,0,12
jonnyboy479,113128316,10,123,0,Yes,16225536,13225536,13,1,24,Yes,16642836,13267836,12,1,19,Yes,19076294,13275044,14,4,24,Yes,19615434,13277932,14,1,23,Yes,21781935,13292119,13,0,21,Yes,19786281,13290585,8,0,12
Broksby USM,114419695,75,125,7,Yes,17103360,13703360,14,1,25,Yes,16710362,13710362,13,1,19,Yes,18749972,12948722,14,4,24,Yes,22062745,13750867,15,1,25,Yes,19987522,11899162,12,1,21,Yes,19805734,13724657,7,0,11
Eclipse,109721121,15,120,0,Yes,15968953,12568953,14,0,25,Yes,15733331,12608331,12,1,17,Yes,18413476,12612226,14,4,24,Yes,21150730,12619477,15,0,26,Yes,19446691,12619738,12,0,16,Yes,19007940,12619738,8,0,12
valitsaki,89090839,18,77,1,No,352909,352909,0,1,0,Yes,16107528,12857528,11,1,18,Yes,19005257,12862757,14,3,23,Yes,20903301,12865642,15,1,24,Yes,16237705,12865910,7,0,8,Yes,16484139,12875419,3,0,4
OneFingeredFred,92443011,8,93,0,No,877961,477961,2,1,4,Yes,16233973,12983973,13,1,18,Yes,19472124,12988374,14,4,25,Yes,20313064,12988374,14,1,24,Yes,17198182,12988374,11,1,13,Yes,18347707,12988374,6,0,9
